mz	H/C	O/C
256.061531	0.785714286	0.285714286
256.191817	1.928571429	0.214285714
257.045547	0.714285714	0.357142857
257.05678	0.769230769	0.307692308
257.066676	1.272727273	0.636363636
257.07791	1.4	0.6
257.081932	0.933333333	0.266666667
257.103062	1.5	0.5
257.139447	1.692307692	0.384615385
257.154703	1.294117647	0.117647059
257.175833	1.857142857	0.285714286
257.212218	2	0.2
258.040796	0.692307692	0.384615385
258.077181	0.928571429	0.285714286
259.024812	0.615384615	0.461538462
259.061197	0.857142857	0.357142857
259.07243	0.923076923	0.307692308
259.097583	1.066666667	0.266666667
259.118712	1.666666667	0.5
259.191483	2	0.285714286
260.056446	0.846153846	0.384615385
260.092832	1.071428571	0.285714286
260.104065	1.153846154	0.230769231
261.040462	0.769230769	0.461538462
261.076847	1	0.357142857
261.113233	1.2	0.266666667
261.124466	1.285714286	0.214285714
261.134362	1.833333333	0.5
262.035711	0.75	0.5
262.072096	1	0.384615385
262.087352	0.764705882	0.117647059
262.144867	1.4	0.2
263.019726	0.666666667	0.583333333
263.034982	0.5	0.25
263.056112	0.923076923	0.461538462
263.092497	1.142857143	0.357142857
263.103731	1.230769231	0.307692308
263.128883	1.333333333	0.266666667
263.165268	1.5	0.1875
263.972065	0.333333333	0.555555556
264.030231	0.466666667	0.266666667
264.051361	0.916666667	0.5
264.066617	0.6875	0.1875
264.087746	1.153846154	0.384615385
264.124132	1.357142857	0.285714286
265.014247	0.4	0.333333333
265.035376	0.833333333	0.583333333
265.050632	0.625	0.25
265.071762	1.076923077	0.461538462
265.108147	1.285714286	0.357142857
265.144533	1.466666667	0.266666667
265.147904	2.166666667	0.333333333
266.045881	0.6	0.266666667
266.139782	1.5	0.285714286
267.014641	0.727272727	0.727272727
267.029897	0.533333333	0.333333333
267.051026	1	0.583333333
267.066282	0.75	0.25
267.087412	1.230769231	0.461538462
267.098645	1.333333333	0.416666667
267.102668	0.941176471	0.176470588
267.123797	1.428571429	0.357142857
267.160183	1.6	0.266666667
267.196568	1.75	0.1875
267.999994	0.25	0.416666667
268.061531	0.733333333	0.266666667
269.045547	0.666666667	0.333333333
269.05678	0.714285714	0.285714286
269.081932	0.875	0.25
269.103062	1.384615385	0.461538462
269.118318	1.058823529	0.176470588
269.139447	1.571428571	0.357142857
269.175833	1.733333333	0.266666667
269.212218	1.875	0.1875
269.248604	2	0.117647059
270.040796	0.642857143	0.357142857
270.077181	0.866666667	0.266666667
270.207467	1.933333333	0.2
271.024812	0.571428571	0.428571429
271.061197	0.8	0.333333333
271.064568	1.333333333	0.416666667
271.082326	1.333333333	0.583333333
271.097583	1	0.25
271.118712	1.538461538	0.461538462
271.133968	1.176470588	0.176470588
271.155097	1.714285714	0.357142857
271.227868	2	0.1875
272.056446	0.785714286	0.357142857
272.092832	1	0.266666667
273.040462	0.714285714	0.428571429
273.076847	0.933333333	0.333333333
273.134362	1.692307692	0.461538462
274.035711	0.692307692	0.461538462
274.072096	0.928571429	0.357142857
275.056112	0.857142857	0.428571429
275.092497	1.066666667	0.333333333
275.103731	1.142857143	0.285714286
275.165268	1.411764706	0.176470588
275.168639	2	0.214285714
276.07249	1.5	0.8
276.087746	1.071428571	0.357142857
276.124132	1.266666667	0.266666667
277.035376	0.769230769	0.538461538
277.050632	0.588235294	0.235294118
277.071762	1	0.428571429
277.082995	1.076923077	0.384615385
277.087018	0.777777778	0.166666667
277.108147	1.2	0.333333333
277.144533	1.375	0.25
277.180918	1.529411765	0.176470588
278.067011	1	0.461538462
278.103396	1.214285714	0.357142857
279.014641	0.666666667	0.666666667
279.051026	0.923076923	0.538461538
279.066282	0.705882353	0.235294118
279.08491	0.888888889	0.055555556
279.087412	1.142857143	0.428571429
279.123797	1.333333333	0.333333333
279.160183	1.5	0.25
280.061531	0.6875	0.25
280.082661	1.153846154	0.461538462
280.119046	1.357142857	0.357142857
280.176561	2.25	0.5
281.045547	0.625	0.3125
281.05678	0.666666667	0.266666667
281.066676	1.076923077	0.538461538
281.081932	0.823529412	0.235294118
281.103062	1.285714286	0.428571429
281.139447	1.466666667	0.333333333
281.175833	1.625	0.25
281.248604	1.888888889	0.111111111
282.040796	0.6	0.333333333
282.077181	0.8125	0.25
282.098311	1.307692308	0.461538462
283.02416	1.714285714	1.142857143
283.024812	0.533333333	0.4
283.061197	0.75	0.3125
283.07243	0.8	0.266666667
283.082326	1.230769231	0.538461538
283.097583	0.941176471	0.235294118
283.118712	1.428571429	0.428571429
283.133968	1.111111111	0.166666667
283.145201	1.176470588	0.117647059
283.155097	1.6	0.333333333
283.191483	1.75	0.25
283.227868	1.882352941	0.176470588
283.264254	2	0.111111111
284.02006	0.5	0.428571429
284.056446	0.733333333	0.333333333
284.092832	0.9375	0.25
284.129217	1.117647059	0.176470588
284.223117	1.9375	0.1875
285.040462	0.666666667	0.4
285.043833	1.166666667	0.5
285.076847	0.875	0.3125
285.097976	1.384615385	0.538461538
285.113233	1.058823529	0.235294118
285.134362	1.571428571	0.428571429
285.149618	1.222222222	0.166666667
285.170747	1.733333333	0.333333333
285.207133	1.875	0.25
285.243519	2	0.176470588
286.035711	0.642857143	0.428571429
286.072096	0.866666667	0.333333333
287.019726	0.571428571	0.5
287.05546	2.285714286	1.142857143
287.056112	0.8	0.4
287.092497	1	0.3125
287.113627	1.538461538	0.538461538
287.12486	1.666666667	0.5
287.128883	1.176470588	0.235294118
287.150012	1.714285714	0.428571429
287.222783	2	0.25
287.981961	0.777777778	0.888888889
288.051361	0.785714286	0.428571429
288.087746	1	0.333333333
288.124132	1.1875	0.25
289.035376	0.714285714	0.5
289.050632	0.555555556	0.222222222
289.071762	0.933333333	0.4
289.082995	1	0.357142857
289.108147	1.125	0.3125
289.129277	1.692307692	0.538461538
289.144533	1.294117647	0.235294118
289.976482	0.416666667	0.5
290.030625	0.692307692	0.538461538
290.067011	0.928571429	0.428571429
290.103396	1.133333333	0.333333333
290.124526	1.75	0.583333333
290.139782	1.3125	0.25
290.176167	1.470588235	0.176470588
291.004745	0.266666667	0.333333333
291.029897	0.470588235	0.294117647
291.051026	0.857142857	0.5
291.066282	0.666666667	0.222222222
